fh,polarization,centralFreq,Int000,Int001,S100,S010,S001,S200,S110,S101,S020,S011,S002
18,S,70000,9.9657507767923936e-01,9.9657507767923936e-01,3.9508835240334439e-03,-1.1400282939218833e-03,9.9299221131677584e-01,3.4451066356594486e-03,-7.7858375344947036e-04,8.2944847526891341e-04,7.2362739780673310e-04,-2.4327161696934208e-04,9.9240634364577740e-01
18,M,70000,9.9720726175937380e-01,9.9720726175937380e-01,2.4859816845693634e-03,-7.9005352283995133e-04,9.9491100863516702e-01,2.1304522783513425e-03,-4.9221375350140626e-04,5.3581119916028643e-04,5.6578448651925528e-04,-1.9191258432172542e-04,9.9451102499450761e-01
19,S,70000,9.9696072534870395e-01,9.9696072534870395e-01,3.8462206423079330e-03,-1.2678142023032192e-03,9.9351112329914315e-01,3.3004164101485714e-03,-8.9720891455665603e-04,8.7234124125034804e-04,7.4735768112749179e-04,-2.8557608699519371e-04,9.9291295125743206e-01
19,M,70000,9.9600150226816153e-01,9.9600150226816153e-01,4.0947152452657475e-03,-1.4812328942801129e-03,9.9213720260682114e-01,3.5315611189574011e-03,-1.0384624978872319e-03,7.8114935782149799e-04,9.2574180112892351e-04,-3.0302200249931311e-04,9.9154419934808002e-01
20,S,70000,9.9680247096976504e-01,9.9680247096976504e-01,4.6482990594821231e-03,-1.7265183128749868e-03,9.9254147228910605e-01,4.0002014880352174e-03,-1.2901997806668698e-03,9.6143972429715168e-04,9.3190820796698994e-04,-3.5875318082657644e-04,9.9187036127376216e-01
20,M,70000,9.9646705741835906e-01,9.9646705741835906e-01,4.2528963510042915e-03,-1.6616788924432070e-03,9.9242274122803509e-01,3.6501813846132177e-03,-1.2114305509514694e-03,7.9497844997213313e-04,1.0026051707623614e-03,-3.1897800255574114e-04,9.9181427086297957e-01
21,S,70000,9.9683773784901053e-01,9.9683773784901053e-01,4.6634463906113834e-03,1.7334755375047663e-03,9.9255608838916720e-01,4.0176542501071518e-03,1.2943613359714047e-03,9.5689026735338450e-04,9.3473796015905442e-04,3.6027445436070081e-04,9.9188534563874409e-01
21,M,70000,9.9678461541499985e-01,9.9678461541499985e-01,3.9141085067358073e-03,1.5341434414593016e-03,9.9308088652251503e-01,3.3350601966968085e-03,1.0918230937188727e-03,7.7377945863314182e-04,9.5887294104040038e-04,3.1095439325790731e-04,9.9249068227725834e-01
22,S,70000,9.9756153344807508e-01,9.9756153344807508e-01,3.2777396146357078e-03,1.1037024560506144e-03,9.9468168633910237e-01,2.7461706126121186e-03,7.1356643510171063e-04,8.5685569991112939e-04,7.1657676257205738e-04,2.9597799406499227e-04,9.9409878607289159e-01
22,M,70000,9.9716380864624643e-01,9.9716380864624643e-01,2.8982653759024404e-03,1.0435010874624978e-03,9.9449777806075101e-01,2.4312574268585936e-03,6.5789190756739100e-04,6.8068871237907157e-04,7.4003581249091840e-04,2.6347424943072090e-04,9.9399251540689160e-01
23,S,70000,9.9736870355126706e-01,9.9736870355126706e-01,2.8909431196553225e-03,8.1431388981372682e-04,9.9477254128738002e-01,2.5100891256774048e-03,5.4431936973432858e-04,6.3497424287077477e-04,5.2843278922562183e-04,1.8529851242735830e-04,9.9433018163636233e-01
23,M,70000,9.9721913027295017e-01,9.9721913027295017e-01,2.3818946356085097e-03,7.2949433808411953e-04,9.9501963009649530e-01,2.0571312874510064e-03,4.6025538107666715e-04,4.9624112527176087e-04,5.1185353410817017e-04,1.7563441517646445e-04,9.9465014545139341e-01
24,S,44550,9.9915234999529845e-01,9.9915234999529845e-01,1.1012974365807763e-03,-4.1105540281279250e-08,9.9822917607825579e-01,9.6542981355529807e-04,-3.2952349065538423e-07,2.6191202138051763e-04,1.0793683340488391e-04,2.6462304109499164e-07,9.9807898334833356e-01
24,M,44550,9.9901505676318325e-01,9.9901505676318325e-01,1.0984190853556501e-03,-9.4163107170042199e-07,9.9804901175169913e-01,9.7190325507651035e-04,-2.0160554717663336e-06,2.2014195760457499e-04,1.3680248279362821e-04,1.0325761188858644e-06,9.9790635102531755e-01
25,S,44550,9.9836483097619566e-01,9.9836483097619566e-01,-2.1803624561133743e-04,4.5347121143235166e-04,9.9800884428249936e-01,1.6622892048912644e-04,-2.8975396629068730e-05,-1.2743551060623209e-04,2.9378659604573153e-04,2.1230694020576261e-04,9.9790481545966259e-01
25,M,44550,9.9855831300742715e-01,9.9855831300742715e-01,-2.6096268394688166e-04,5.7109480095513096e-04,9.9808885746049625e-01,1.9404651156846217e-04,-5.1749564621411639e-05,-1.3740750160566836e-04,4.0555859665359001e-04,2.3658781929438100e-04,9.9795870789920549e-01
26,S,44550,9.9842283260526754e-01,9.9842283260526754e-01,-2.0448479146919089e-04,-4.3135430031561694e-04,9.9808096254139134e-01,1.5996111278933204e-04,2.7367312587374022e-05,-1.1811550907982543e-04,2.8154690586666188e-04,-2.0008185800521192e-04,9.9798132458661393e-01
26,M,44550,9.9847002994956857e-01,9.9847002994956857e-01,-2.6408990877525417e-04,-5.8642740188597788e-04,9.9797560776665650e-01,2.0022230590948753e-04,5.5702877357155496e-05,-1.3382720400997164e-04,4.2834713660543100e-04,-2.3138869700927911e-04,9.9784146050705669e-01
27,S,28000,9.9761050693689779e-01,9.9761050693689779e-01,5.2909536447338966e-03,1.6817489563155181e-03,9.9266493592138727e-01,4.6897933772651395e-03,1.2639834143220029e-03,9.3189041826266690e-04,8.8952763850956660e-04,3.1890850413975128e-04,9.9203118592112960e-01
27,M,28000,9.9772199859110755e-01,9.9772199859110755e-01,4.6679499857542042e-03,1.5034470382246318e-03,9.9334531414858640e-01,4.1262573481758826e-03,1.1183327794935952e-03,8.0451444124375745e-04,8.2453898616820286e-04,2.9241722968962171e-04,9.9277120225676552e-01
28,S,28000,9.9747862674189069e-01,9.9747862674189069e-01,5.7172704475859110e-03,-1.7994263934549531e-03,9.9210495930989406e-01,5.0930205432241672e-03,-1.3839317042892937e-03,9.5558620472339429e-04,9.2919608498581295e-04,-3.1439180461013760e-04,9.9145641011368368e-01
28,M,28000,9.9773146110012001e-01,9.9773146110012001e-01,4.4778242229173383e-03,-1.4801956230120073e-03,9.9356338412425693e-01,3.9070481582306662e-03,-1.0609984034651192e-03,8.4362493124585534e-04,8.5596224282913033e-04,-3.1258751718106660e-04,9.9296845069906292e-01
